bug_id,repo_id,bug_type,summary,description,gt_file_path,leakage_free_yes_no,gt_correct_yes_no,bug_type_matches_yes_no,notes
RB000122,gbeine_COBOLUnit,UNINITIALIZED_DATA_ITEM_USE,Inconsistent output due to uninitialized state usage,"A data item may be used before being assigned a valid value, causing behavior that depends on execution path and leading to inconsistent results.",gbeine_COBOLUnit/SUITE001.cob,,,,
SB000043,GaloisGirl_Coding,MISSING_ELSE_FOR_CRITICAL_CHECK,Missing else-handling for an important condition,"A conditional check has no corresponding else-path handling, which can lead to silent skipping of required actions when the condition is not met.",GaloisGirl_Coding/d10b.cob,,,,
SB000230,ve3wwg_cobcurses,UNUSED_DATA_ITEM,Redundant declaration not used in processing,A declared data item is never used by any statement; this suggests unnecessary data structure and possible incomplete refactoring.,ve3wwg_cobcurses/cobcurses_sci_notation_comp_2.cob,,,,
SB000240,ve3wwg_cobcurses,UNUSED_DATA_ITEM,Unused data item increases maintenance risk,"A data item is declared but never referenced, indicating dead state or leftover code that can confuse maintainers and reviewers.",ve3wwg_cobcurses/sd002010.cob,,,,
SB000378,debinix_openjensen,UNUSED_DATA_ITEM,Unused data item increases maintenance risk,"A data item is declared but never referenced, indicating dead state or leftover code that can confuse maintainers and reviewers.",debinix_openjensen/toolchaindisplaytest.cbl,,,,
RB000106,abrignoli_COBSOFT,UNINITIALIZED_DATA_ITEM_USE,Uninitialized value affects conditional behavior,"A decision uses a value that may not have been initialized, so output can vary unpredictably across runs or inputs.",abrignoli_COBSOFT/CS10009C.cbl,,,,
RB000229,bmcsoftware_vscode-ispw,INFINITE_LOOP_NON_TERMINATION,Program does not complete due to non-terminating loop,"A loop termination condition is never satisfied on some paths, causing the program to hang and the job to not finish.",bmcsoftware_vscode-ispw/CWBWSUBC.cbl,,,,
SB000331,lucasrmagalhaes_learning-COBOL,MISSING_ELSE_FOR_CRITICAL_CHECK,Condition lacks alternative-path handling,"A decision point does not define behavior for the opposite condition, leading to incomplete handling of expected scenarios.",lucasrmagalhaes_learning-COBOL/PROGCOB02.cob,,,,
SB000352,lucasrmagalhaes_learning-COBOL,UNDECLARED_IDENTIFIER_REFERENCE,Build error caused by undeclared identifier usage,"The program references a data item that has no corresponding declaration, resulting in a compilation error.",lucasrmagalhaes_learning-COBOL/RELATORIOEMTELA01.cob,,,,
SB000285,abrignoli_COBSOFT,UNUSED_DATA_ITEM,Unused data item increases maintenance risk,"A data item is declared but never referenced, indicating dead state or leftover code that can confuse maintainers and reviewers.",abrignoli_COBSOFT/CS00000S.cbl,,,,
SB000146,IBM_example-health-apis,MISSING_ELSE_FOR_CRITICAL_CHECK,Condition lacks alternative-path handling,"A decision point does not define behavior for the opposite condition, leading to incomplete handling of expected scenarios.",IBM_example-health-apis/HCV1BI01.cbl,,,,
SB000518,neopragma_cobol-unit-test,REDUNDANT_GOTO,Unnecessary control transfer complicates program flow,"A redundant control transfer changes execution flow unnecessarily, making logic harder to follow and increasing maintenance risk.",neopragma_cobol-unit-test/convert-bad.cbl,,,,
SB000302,abrignoli_COBSOFT,UNUSED_DATA_ITEM,Unused data item increases maintenance risk,"A data item is declared but never referenced, indicating dead state or leftover code that can confuse maintainers and reviewers.",abrignoli_COBSOFT/CS10018C.cbl,,,,
SB000276,abrignoli_COBSOFT,UNUSED_DATA_ITEM,Redundant declaration not used in processing,A declared data item is never used by any statement; this suggests unnecessary data structure and possible incomplete refactoring.,abrignoli_COBSOFT/CS10015C.cbl,,,,
SB000464,z390development_z390,UNUSED_DATA_ITEM,Redundant declaration not used in processing,A declared data item is never used by any statement; this suggests unnecessary data structure and possible incomplete refactoring.,z390development_z390/TESTGO1.CBL,,,,
SB000511,z390development_z390,MISSING_ELSE_FOR_CRITICAL_CHECK,Condition lacks alternative-path handling,"A decision point does not define behavior for the opposite condition, leading to incomplete handling of expected scenarios.",z390development_z390/TESTDIV1.CBL,,,,
SB000502,z390development_z390,REDUNDANT_GOTO,Unnecessary control transfer complicates program flow,"A redundant control transfer changes execution flow unnecessarily, making logic harder to follow and increasing maintenance risk.",z390development_z390/TESTTRC3.CBL,,,,
SB000218,ve3wwg_cobcurses,UNDECLARED_IDENTIFIER_REFERENCE,Build error caused by undeclared identifier usage,"The program references a data item that has no corresponding declaration, resulting in a compilation error.",ve3wwg_cobcurses/test001.cob,,,,
SB000485,z390development_z390,DEAD_CODE_AFTER_STOP_RUN,Dead code detected in termination path,Code exists in a path that is not executable due to program termination earlier in the flow.,z390development_z390/TESTCMP6.CBL,,,,
SB000507,z390development_z390,DEAD_CODE_AFTER_STOP_RUN,Dead code detected in termination path,Code exists in a path that is not executable due to program termination earlier in the flow.,z390development_z390/TESTMPY1.CBL,,,,
SB000316,lucasrmagalhaes_learning-COBOL,DEAD_CODE_AFTER_STOP_RUN,Dead code detected in termination path,Code exists in a path that is not executable due to program termination earlier in the flow.,lucasrmagalhaes_learning-COBOL/EXCLUINDOREGISTROS.cbl,,,,
SB000167,IBM_example-health-apis,UNDECLARED_IDENTIFIER_REFERENCE,Build error caused by undeclared identifier usage,"The program references a data item that has no corresponding declaration, resulting in a compilation error.",IBM_example-health-apis/HCAPDB01.cbl,,,,
RB000246,z390development_z390,DIVIDE_BY_ZERO_RISK,Potential divide-by-zero in processing path,"The program performs division without ensuring a non-zero denominator, which can fail for certain records or execution paths.",z390development_z390/TESTFIL2.CBL,,,,
RB000003,seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL,MISSING_FILE_STATUS_HANDLING,File operation fails without proper error handling,"A file read/write path lacks robust status checks, which can cause failures or incorrect behavior when file conditions are unexpected.",seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL/HelloWorldPunchcard_V1.cob,,,,
SB000344,lucasrmagalhaes_learning-COBOL,MISSING_ELSE_FOR_CRITICAL_CHECK,Missing else-handling for an important condition,"A conditional check has no corresponding else-path handling, which can lead to silent skipping of required actions when the condition is not met.",lucasrmagalhaes_learning-COBOL/PROGCOB07.cbl,,,,
RB000083,ve3wwg_cobcurses,UNINITIALIZED_DATA_ITEM_USE,Uninitialized value affects conditional behavior,"A decision uses a value that may not have been initialized, so output can vary unpredictably across runs or inputs.",ve3wwg_cobcurses/cobcurses_edit_comp2.cob,,,,
RB000114,abrignoli_COBSOFT,MISSING_FILE_STATUS_HANDLING,File operation fails without proper error handling,"A file read/write path lacks robust status checks, which can cause failures or incorrect behavior when file conditions are unexpected.",abrignoli_COBSOFT/CS00000S.cbl,,,,
SB000010,Martinfx_Cobol,REDUNDANT_GOTO,Unsafe jump-based flow reduces readability,"Jump-style control flow is used where structured flow would suffice, complicating reasoning about execution paths.",Martinfx_Cobol/String.cbl,,,,
SB000552,neopragma_cobol-unit-test,REDUNDANT_GOTO,Unsafe jump-based flow reduces readability,"Jump-style control flow is used where structured flow would suffice, complicating reasoning about execution paths.",neopragma_cobol-unit-test/MOCKDEMO.CBL,,,,
RB000101,abrignoli_COBSOFT,WRONG_CALCULATION_LOGIC,Business rule produces wrong output,"A rule or computation is applied incorrectly, leading to wrong results while still running successfully.",abrignoli_COBSOFT/CS00004S.cbl,,,,
SB000176,IBM_example-health-apis,UNDECLARED_IDENTIFIER_REFERENCE,Build error caused by undeclared identifier usage,"The program references a data item that has no corresponding declaration, resulting in a compilation error.",IBM_example-health-apis/HCT1BA01.cbl,,,,
RB000012,Martinfx_Cobol,INFINITE_LOOP_NON_TERMINATION,Program does not complete due to non-terminating loop,"A loop termination condition is never satisfied on some paths, causing the program to hang and the job to not finish.",Martinfx_Cobol/ConditionNameCondition.cbl,,,,
SB000550,neopragma_cobol-unit-test,MISSING_ELSE_FOR_CRITICAL_CHECK,Condition lacks alternative-path handling,"A decision point does not define behavior for the opposite condition, leading to incomplete handling of expected scenarios.",neopragma_cobol-unit-test/CALLDEMO.CBL,,,,
SB000417,z390development_z390,UNUSED_DATA_ITEM,Unused data item increases maintenance risk,"A data item is declared but never referenced, indicating dead state or leftover code that can confuse maintainers and reviewers.",z390development_z390/P8JFC.CBL,,,,
SB000411,bmcsoftware_vscode-ispw,UNUSED_DATA_ITEM,Redundant declaration not used in processing,A declared data item is never used by any statement; this suggests unnecessary data structure and possible incomplete refactoring.,bmcsoftware_vscode-ispw/CWXTSUBC.cbl,,,,
SB000037,Martinfx_Cobol,UNUSED_DATA_ITEM,Unused data item increases maintenance risk,"A data item is declared but never referenced, indicating dead state or leftover code that can confuse maintainers and reviewers.",Martinfx_Cobol/RelationCondition.cbl,,,,
