bug_id,repo_id,bug_type,summary,description,gt_file_path,leakage_free_yes_no,gt_correct_yes_no,bug_type_matches_yes_no,notes
RB000122,abrignoli_COBSOFT,WRONG_CALCULATION_LOGIC,Incorrect numeric results produced for valid inputs,The program completes but produces incorrect computed values due to a logic error in calculation or conditional selection.,abrignoli_COBSOFT/CS00004S.cbl,,,,
RB000328,neopragma_cobol-unit-test,WRONG_CALCULATION_LOGIC,Business rule produces wrong output,"A rule or computation is applied incorrectly, leading to wrong results while still running successfully.",neopragma_cobol-unit-test/convert-bad2.cbl,,,,
SB000182,ve3wwg_cobcurses,UNDECLARED_IDENTIFIER_REFERENCE,Build error caused by undeclared identifier usage,"The program references a data item that has no corresponding declaration, resulting in a compilation error.",ve3wwg_cobcurses/sdgenfiles.cob,,,,
SB000192,ve3wwg_cobcurses,UNUSED_DATA_ITEM,Redundant declaration not used in processing,A declared data item is never used by any statement; this suggests unnecessary data structure and possible incomplete refactoring.,ve3wwg_cobcurses/template_screen.cob,,,,
SB000330,lucasrmagalhaes_learning-COBOL,UNUSED_DATA_ITEM,Unused data item increases maintenance risk,"A data item is declared but never referenced, indicating dead state or leftover code that can confuse maintainers and reviewers.",lucasrmagalhaes_learning-COBOL/PROGCOB02.cob,,,,
SB000548,neopragma_cobol-unit-test,MISSING_ELSE_FOR_CRITICAL_CHECK,Condition lacks alternative-path handling,"A decision point does not define behavior for the opposite condition, leading to incomplete handling of expected scenarios.",neopragma_cobol-unit-test/CARD3.CBL,,,,
RB000106,ve3wwg_cobcurses,INFINITE_LOOP_NON_TERMINATION,Non-termination observed during processing,"A repeated processing block may never reach its termination condition, preventing completion for certain scenarios.",ve3wwg_cobcurses/themain.cob,,,,
RB000229,debinix_openjensen,MISSING_FILE_STATUS_HANDLING,File operation fails without proper error handling,"A file read/write path lacks robust status checks, which can cause failures or incorrect behavior when file conditions are unexpected.",debinix_openjensen/toolchaindisplaytest.cbl,,,,
SB000283,abrignoli_COBSOFT,UNUSED_DATA_ITEM,Redundant declaration not used in processing,A declared data item is never used by any statement; this suggests unnecessary data structure and possible incomplete refactoring.,abrignoli_COBSOFT/CS00000F.cbl,,,,
SB000304,lucasrmagalhaes_learning-COBOL,UNUSED_DATA_ITEM,Unused data item increases maintenance risk,"A data item is declared but never referenced, indicating dead state or leftover code that can confuse maintainers and reviewers.",lucasrmagalhaes_learning-COBOL/PROGCOB06.cbl,,,,
SB000237,ve3wwg_cobcurses,REDUNDANT_GOTO,Unsafe jump-based flow reduces readability,"Jump-style control flow is used where structured flow would suffice, complicating reasoning about execution paths.",ve3wwg_cobcurses/test005.cob,,,,
SB000098,GaloisGirl_Coding,MISSING_ELSE_FOR_CRITICAL_CHECK,Missing else-handling for an important condition,"A conditional check has no corresponding else-path handling, which can lead to silent skipping of required actions when the condition is not met.",GaloisGirl_Coding/d09b.cob,,,,
SB000470,z390development_z390,UNUSED_DATA_ITEM,Unused data item increases maintenance risk,"A data item is declared but never referenced, indicating dead state or leftover code that can confuse maintainers and reviewers.",z390development_z390/COPYFILE.CBL,,,,
SB000254,ve3wwg_cobcurses,UNUSED_DATA_ITEM,Unused data item increases maintenance risk,"A data item is declared but never referenced, indicating dead state or leftover code that can confuse maintainers and reviewers.",ve3wwg_cobcurses/sd002020.cob,,,,
SB000228,ve3wwg_cobcurses,UNUSED_DATA_ITEM,Unused data item increases maintenance risk,"A data item is declared but never referenced, indicating dead state or leftover code that can confuse maintainers and reviewers.",ve3wwg_cobcurses/sdbackup.cob,,,,
SB000530,neopragma_cobol-unit-test,UNUSED_DATA_ITEM,Unused data item increases maintenance risk,"A data item is declared but never referenced, indicating dead state or leftover code that can confuse maintainers and reviewers.",neopragma_cobol-unit-test/CICSDRIV.CBL,,,,
SB000416,z390development_z390,DEAD_CODE_AFTER_STOP_RUN,Unreachable statements present after termination,"Statements appear after program termination and can never execute, reducing clarity and possibly hiding intended behavior.",z390development_z390/P8JFC.CBL,,,,
SB000463,z390development_z390,UNDECLARED_IDENTIFIER_REFERENCE,Compilation fails due to missing data item declaration,"A referenced data item is not declared in the DATA DIVISION, causing an unknown identifier or compile-time failure during build.",z390development_z390/TESTFIL2.CBL,,,,
SB000454,z390development_z390,UNUSED_DATA_ITEM,Unused data item increases maintenance risk,"A data item is declared but never referenced, indicating dead state or leftover code that can confuse maintainers and reviewers.",z390development_z390/TESTPM1.CBL,,,,
SB000170,IBM_example-health-apis,REDUNDANT_GOTO,Unsafe jump-based flow reduces readability,"Jump-style control flow is used where structured flow would suffice, complicating reasoning about execution paths.",IBM_example-health-apis/HCAZMENU.cbl,,,,
